Course,Performance,Feedback
Engineering Mathematics III,80,More Difficult
Engineering Mathematics III,85,More Difficult
Engineering Mathematics III,90,More Difficult
Engineering Mathematics III,95,More Difficult
Engineering Mathematics III,85,More Difficult
Engineering Mathematics III,88,More Difficult
Engineering Mathematics III,90,More Difficult
Engineering Mathematics III,92,More Difficult
Engineering Mathematics III,87,More Difficult
Engineering Mathematics III,93,More Difficult
Engineering Mathematics III,89,More Difficult
Engineering Mathematics III,91,More Difficult
Engineering Mathematics III,94,More Difficult
Engineering Mathematics III,86,More Difficult
Engineering Mathematics III,88,More Difficult
Engineering Mathematics III,92,More Difficult
Engineering Mathematics III,90,More Difficult
Engineering Mathematics III,87,More Difficult
Engineering Mathematics III,89,More Difficult
Engineering Mathematics III,91,More Difficult
Data Structures,70,Medium Difficult
Data Structures,75,Medium Difficult
Data Structures,80,Medium Difficult
Data Structures,85,Medium Difficult
Data Structures,75,Medium Difficult
Data Structures,78,Medium Difficult
Data Structures,80,Medium Difficult
Data Structures,82,Medium Difficult
Data Structures,77,Medium Difficult
Data Structures,83,Medium Difficult
Data Structures,79,Medium Difficult
Data Structures,81,Medium Difficult
Data Structures,84,Medium Difficult
Data Structures,76,Medium Difficult
Data Structures,78,Medium Difficult
Data Structures,82,Medium Difficult
Data Structures,80,Medium Difficult
Data Structures,77,Medium Difficult
Data Structures,79,Medium Difficult
Data Structures,81,Medium Difficult
Digital Logic Design,50,Medium Difficult
Digital Logic Design,55,Medium Difficult
Digital Logic Design,60,Medium Difficult
Digital Logic Design,65,Medium Difficult
Digital Logic Design,55,Medium Difficult
Digital Logic Design,58,Medium Difficult
Digital Logic Design,60,Medium Difficult
Digital Logic Design,62,Medium Difficult
Digital Logic Design,57,Medium Difficult
Digital Logic Design,63,Medium Difficult
Digital Logic Design,59,Medium Difficult
Digital Logic Design,61,Medium Difficult
Digital Logic Design,64,Medium Difficult
Digital Logic Design,56,Medium Difficult
Digital Logic Design,58,Medium Difficult
Digital Logic Design,62,Medium Difficult
Digital Logic Design,60,Medium Difficult
Digital Logic Design,57,Medium Difficult
Digital Logic Design,59,Medium Difficult
Digital Logic Design,61,Medium Difficult
Analog Electronics,30,Less Difficult
Analog Electronics,35,Less Difficult
Analog Electronics,40,Less Difficult
Analog Electronics,45,Less Difficult
Analog Electronics,35,Less Difficult
Analog Electronics,38,Less Difficult
Analog Electronics,40,Less Difficult
Analog Electronics,42,Less Difficult
Analog Electronics,37,Less Difficult
Analog Electronics,43,Less Difficult
Analog Electronics,39,Less Difficult
Analog Electronics,41,Less Difficult
Analog Electronics,44,Less Difficult
Analog Electronics,36,Less Difficult
Analog Electronics,38,Less Difficult
Analog Electronics,42,Less Difficult
Analog Electronics,40,Less Difficult
Analog Electronics,37,Less Difficult
Analog Electronics,39,Less Difficult
Analog Electronics,41,Less Difficult
